transcript_name;probe_name;SAS_strand;strand;3280_F2_C1_I1_R1_cy3;3280_F2_C1_I1_R2_cy5;3280_F2_C1_I5_R1_cy3;3280_F2_C1_I5_R2_cy5;3280_F2_C1_L1_R1_cy3;3280_F2_C1_L1_R2_cy5;3280_F2_C2_I1_R1_cy3;3280_F2_C2_I1_R2_cy5;3280_F2_C2_I5_R1_cy3;3280_F2_C2_I5_R2_cy5;3280_F2_C2_I9_R1_cy3;3280_F2_C2_I9_R2_cy5;3280_F2_C2_L1_R1_cy3;3280_F2_C2_L1_R2_cy5;3280_F2_C3_I1_R1_cy3;3280_F2_C3_I1_R2_cy5;3280_F2_C3_I5_R1_cy3;3280_F2_C3_I5_R2_cy5;3280_F2_C3_I9_R1_cy3;3280_F2_C3_I9_R2_cy5;3280_F2_C3_L1_R1_cy3;3280_F2_C3_L1_R2_cy5;3280_F2_C4_I1_R1_cy3;3280_F2_C4_I1_R2_cy5;3280_F2_C4_I5_R1_cy3;3280_F2_C4_I5_R2_cy5;3280_F2_C4_I9_R1_cy3;3280_F2_C4_I9_R2_cy5;3280_F2_C4_L1_R1_cy3;3280_F2_C4_L1_R2_cy5
SCCCLB1024D12.g;GS1_AS_16700_04542;SCCCLB1024D12.g_AS;AS;;;;;6,3199;;;;;;;;;7,3535;;;;;;;;7,6802;;;;;;;6,7656;6,2966
SCVPST1062E07.g;GS1_SS_16327_11712;SCVPST1062E07.g_SS;SS;9,7108;10,0928;8,4846;8,3503;8,0294;8,3164;10,1338;9,9884;8,798;8,8558;10,0972;9,7361;8,0765;8,5639;9,4573;9,7872;8,2814;8,1286;9,4006;9,4697;8,1628;8,2517;9,3315;9,2014;9,3348;9,4336;9,6816;10,0016;8,349;8,5204
SCAGST3138B05.g;GS1_SS_18420_19515;SCAGST3138B05.g_SS;SS;;;;;8,6038;8,645;;;;;8,4962;8,0198;7,3532;8,8869;;6,738;6,2681;;8,7947;8,3743;8,461;8,4586;;;5,934;6,4879;7,9898;7,4676;9,3411;8,1857
SCUTST3089H07.g;GS1_SS_16325_07364;SCUTST3089H07.g_SS;SS;9,5214;9,1132;8,6022;8,9583;12,0804;12,7269;8,6892;9,126;7,9588;7,8004;11,722;11,3415;11,8548;12,452;8,7592;9,9868;8,6853;9,9499;10,8904;11,8344;12,688;13,2511;8,0684;9,1199;9,253;9,7557;11,0836;12,339;11,5428;12,2741
SCCCCL4006A03.g;GS1_SS_18421_13299;SCCCCL4006A03.g_SS;SS;13,6546;13,656;13,7332;13,682;11,1467;11,6512;13,8546;13,5702;14,0605;13,5319;14,7059;14,2084;11,6122;12,9325;12,9867;13,6427;13,4574;13,6037;14,7064;14,326;12,5208;12,3766;13,2961;13,0314;13,7118;13,8574;14,3982;14,3348;11,9213;11,2644
SCRURZ3080H05.g;GS1_SS_16324_08418;SCRURZ3080H05.g_SS;SS;7,0263;;6,964;;6,6601;;7,2102;7,5024;6,351;;7,8047;8,5105;;6,9982;6,7652;6,9822;6,7542;;7,5706;7,8585;6,9716;6,4549;7,4102;;7,3223;7,968;8,1508;8,3229;7,396;7,3842
SCRURZ3080C06.g;GS1_SS_16319_11047;SCRURZ3080C06.g_SS;SS;7,6594;7,2035;6,7374;;;;;;;;;;;;7,3707;7,4775;7,951;;;7,724;5,8768;;6,9522;8,756;8,0178;8,4754;7,2861;9,3447;;
SCQGAM1045B05.g;GS1_SS_22593_12344;SCQGAM1045B05.g_SS;SS;10,2877;10,5031;8,8896;9,0551;7,1473;7,1638;10,4036;10,1695;8,5406;8,9618;8,7224;8,3072;7,2588;7,8036;10,1266;10,4378;8,7574;8,1834;7,6586;7,886;5,944;7,8301;9,5118;9,494;9,6466;9,4208;8,143;7,3401;6,9446;7,0262
SCMCRT2104E09.g;GS1_SS_18412_19711;SCMCRT2104E09.g_SS;SS;10,9476;10,8521;10,827;10,8553;10,0844;10,5802;10,1506;10,3888;10,4756;10,3924;11,8042;11,078;9,6042;10,835;10,135;10,4994;10,2573;10,5742;11,3641;11,4589;9,7662;10,1896;10,7941;10,4292;11,0089;11,202;11,493;11,4386;9,924;9,7811
SCQGST1034B09.g;GS1_SS_16317_12684;SCQGST1034B09.g_SS;SS;6,9065;7,1919;7,2124;;7,0584;;7,332;7,2763;6,9125;6,9463;7,2018;6,9717;7,2199;7,363;7,0565;7,8326;6,9204;7,1793;6,8032;7,0798;;7,585;7,5814;7,27;6,6848;6,7617;7,5668;7,0932;6,9133;7,0366
SCQGAM2028B12.g;GS1_SS_16315_13266;SCQGAM2028B12.g_SS;SS;7,9668;7,5054;8,9375;8,1631;11,1817;11,7605;;;7,0289;6,8005;9,4073;10,6026;10,9968;9,173;6,8498;7,2201;9,8476;8,9866;9,8232;11,7216;11,4244;11,4171;6,6019;8,2118;9,7045;11,1338;12,0448;12,385;10,0462;12,8177
