term;gene
;SCCCLB1024D12.g_AS
;SCVPST1062E07.g_SS
Receptors;SCAGST3138B05.g_SS
;SCUTST3089H07.g_SS
;SCCCCL4006A03.g_SS
;SCRURZ3080H05.g_SS
;SCRURZ3080C06.g_SS
;SCQGAM1045B05.g_SS
Protein metabolism;SCMCRT2104E09.g_SS
;SCQGST1034B09.g_SS
;SCQGAM2028B12.g_SS
Protein kinase;SCCCLR1C01H12.g_SS
;SCRURZ3079G01.g_SS
;SCAGST3137F08.g_SS
;SCCCLB1024F04.g_SS
Carbohydrate metabolism;SCRFLR1012F09.g_SS
Cell wall;SCAGLR1043B10.g_SS
;SCAGFL3027E01.g_SS
;SCCCLR1079F11.g_SS
Ubiquitination;SCCCCL3080G07.g_SS
;SCCCLR1065G09.g_SS
No matches;SCJFFL3C01G11.g_SS
Transcription Factor;SCEQLR1050H05.g_SS
Carbohydrate metabolism;SCRLCL6033H03.g_AS
;SCAGST3137B06.g_SS
;SCACSB1037G05.g_AS
Transcription Factor;SCAGLR1064B08.g_SS
No matches;SCJFFL3C03F02.g_SS
Carbohydrate metabolism;SCMCRT2085D12.g_SS
No matches;SCJFFL3C03C02.g_SS
;SCMCLR1122H07.g_SS
;SCQSLR1040F07.g_SS
;SCEZLR1052B10.g_SS
;SCRLRZ3116A05.g_SS
Development;SCRLRZ3115H09.g_SS
;SCACST3159F12.g_SS
;SCSGRZ3062G08.g_SS
Transcription Factor;SCSGHR1066H10.g_SS
;SCRLRZ3116C06.g_SS
Library-specific;SCQSFL3037H05.g_SS
;SCJFRZ1006B07.g_SS
;SCRLRZ3114H02.g_SS
;SCUTLR1058B01.g_SS
;SCUTST3087G02.g_SS
;SCSGFL4031B12.g_SS
Protein metabolism;SCRLRZ3115E11.g_SS
;SCEPAM1017B08.g_SS
;SCEZRZ3018E01.g_SS
;SCSGCL6071B06.g_SS
Nucleic acid metabolism;SCACST3159D04.g_SS
;SCAGFL3024G12.g_SS
;SCBGLR1119B03.g_SS
;SCRULR1020D02.g_SS
;SCEPRT2043E10.g_SS
;SCJLRT1022E11.g_SS
;SCACST3157F11.g_SS
;SCCCLR1065F10.g_SS
;SCJFFL3C02E11.g_SS
Transcription Factor;SCVPCL6044F03.g_SS
;SCAGFL3023H02.g_SS
;SCCCST3006H01.g_SS
;SCCCLR1C01D11.g_SS
;SCCCST3006H09.g_SS
;SCRLRZ3112F10.g_SS
;SCACST3157A08.g_SS
;SCRLRZ3112D11.g_SS
;SCACST3157C10.g_SS
;SCRLRZ3114C04.g_SS
Nucleic acid metabolism;SCRLRZ3114A04.g_SS
;SCBGLR1002B09.g_SS
;SCAGFL3023D11.g_SS
;SCCCST3006C02.g_SS
;SCAGFL3022F05.g_SS
;SCCCRZ1002F07.g_SS
;SCJLRT1022G11.g_SS
Receptors;SCRLCL6033H07.g_SS
;SCCCRT1002E08.g_SS
;SCCCCL4011F04.g_SS
;SCRLRZ3112A01.g_SS
;SCJFRZ2011A03.g_SS
;SCEZLB1014B05.g_SS
;SCVPRZ2038G10.g_SS
;SCCCSB1001A09.g_SS
;SCCCST3006E12.g_SS
No matches;SCJFFL3C02F09.g_SS
;SCEPRZ1011A09.g_SS
;SCJLRT1021D08.g_SS
;SCBFRZ2045F02.g_SS
;SCCCRZ2C04F04.g_SS
;SCCCST3005G09.g_SS
Cell cycle;SCJLLR1011H01.g_SS
;SCVPST1060C04.g_SS
;SCJFLR1013H02.g_SS
Nucleic acid metabolism;SCJFRZ2027B03.g_SS
Nucleic acid metabolism;SCUTFL1060F10.g_SS
;SCCCST3001G10.g_SS
Stress;SCVPRZ3030G09.g_SS
;SCSGFL1083D07.g_SS
;SCJFRT2059A09.g_SS
;SCCCST3006H10.g_SS
;SCCCCL4005G05.g_SS
;SCCCLR1048D06.g_SS
;SCCCLR1069A06.g_SS
Transcription Factor;SCRFAD1023F12.g_SS
;SCCCST3002G01.g_SS
;SCVPCL6045F10.g_SS
;SCACLB1045G10.g_SS
;SCVPRZ2039G06.g_SS
;SCRLFL4028B09.g_SS
;SCBFST3136H06.g_SS
;SCBFST3136G10.g_SS
;SCJFRZ2026C10.g_SS
;SCEQLR1091C07.g_SS
;SCCCCL4013F03.g_AS
Development;SCSGSB1005A04.g_AS
;SCCCRZ2004G05.g_AS
;SCBFST3136C07.g_SS
;SCCCLR1072G08.g_SS
;SCRFLB1053G05.g_SS
Stress;SCACLR2014H03.g_SS
;SCBFST3135H08.g_SS
Stress;SCCCRZ1002B03.g_SS
;SCBFST3135E04.g_SS
;SCBFST3135D08.g_SS
;SCBFST3135B05.g_SS
Transporters;SCRURT2005C05.g_AS
;SCMCST1058E09.g_SS
Unknown protein;SCJFRZ2025E01.g_AS
;SCVPRZ3027E07.g_AS
Receptors;SCRFLR1012B04.g_AS
Receptors;SCVPRZ3028E05.g_AS
;SCVPRZ2037A11.g_SS
;SCCCCL5002G02.g_SS
Carbohydrate metabolism;SCCCLB1021E06.g_SS
Development;SCJFST1016G02.g_SS
Transcription Factor;SCVPRZ3030F10.g_AS
Transcription Factor;SCQSLB1049G04.g_SS
;SCBFST3133F03.g_SS
;SCCCLR1C05A04.g_AS
;SCJLRZ1024C07.g_SS
;SCBFST3133G06.g_SS
;SCBFST3133G05.g_SS
Cell wall;SCCCLR1065C05.g_SS
Carbohydrate metabolism;SCEPLR1051A11.g_AS
;SCBFST3133A01.b_SS
Protein metabolism;SCCCLR1076H11.g_AS
Cell wall;SCCCLR1048D07.g_AS
Hormone biosynthesis;SCEQRT2027E03.g_AS
;SCBFST3132G06.g_SS
;SCBFST3132G08.g_SS
;SCRLAD1040B03.g_SS
;SCCCLR1C07D01.g_SS
Cell wall;SCSGRZ3062C02.g_AS
;SCAGST3138E12.g_SS
;SCCCLR1C04D07.g_AS
;SCBFST3132E08.g_SS
;SCJFRT1005G01.g_SS
Transcription Factor;SCCCSB1002C05.g_AS
;SCBFST3132A03.g_SS
;SCBFRZ2048B09.g_SS
;SCCCLB1C05F02.g_SS
Protein metabolism;SCACSB1035E05.g_AS
Amino acid metabolism;SCEQLR1029A04.g_AS
;SCMCLR1123H06.g_AS
;SCVPLR2027F11.g_AS
Transporters;SCCCRZ2C04F03.g_SS
